epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,31994.6,0.28605,0.1819,0.81412,0.99647,0.99627,0.99493,0.95367,0.34236,0.17167,0.82923,0.0004423,0.0004423,0.0004423
171,32166.5,0.28115,0.17735,0.81181,0.99532,0.99767,0.99489,0.95316,0.3462,0.17375,0.83086,0.000439,0.000439,0.000439
172,32334.4,0.27642,0.17892,0.81969,0.99582,0.99651,0.99492,0.95782,0.32338,0.16945,0.82368,0.0004357,0.0004357,0.0004357
173,32509.8,0.27025,0.17153,0.81219,0.99594,0.99703,0.99486,0.95185,0.33218,0.16785,0.8294,0.0004324,0.0004324,0.0004324
174,32674.6,0.27286,0.17486,0.81862,0.99424,0.9973,0.99488,0.95315,0.3427,0.1708,0.83365,0.0004291,0.0004291,0.0004291
175,32852.8,0.2731,0.17375,0.81633,0.9958,0.9972,0.99496,0.9556,0.33401,0.17055,0.82871,0.0004258,0.0004258,0.0004258
176,33035,0.27218,0.17609,0.81306,0.99619,0.9979,0.99496,0.9568,0.32735,0.16886,0.82631,0.0004225,0.0004225,0.0004225
177,33230.7,0.28024,0.17757,0.81846,0.99545,0.9986,0.99491,0.95754,0.32656,0.17005,0.82655,0.0004192,0.0004192,0.0004192
178,33412.8,0.26258,0.16885,0.81268,0.99541,0.9986,0.99493,0.95797,0.32287,0.16875,0.82449,0.0004159,0.0004159,0.0004159
179,33618.8,0.26823,0.16998,0.81849,0.9987,0.99754,0.99499,0.95946,0.31937,0.16619,0.82361,0.0004126,0.0004126,0.0004126
180,33804.4,0.259,0.16656,0.81176,0.99859,0.99811,0.99491,0.96122,0.30477,0.1616,0.81957,0.0004093,0.0004093,0.0004093
